Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Target
0,0,1,0,0,0,0,1,2,12,67500,36.01990458,3.263585152,0
0,0,0,0,0,0,0,1,2,17,157500,40.67982231,3.920682834,0
0,0,1,0,1,0,1,0,2,15,202500,64.80625886,0,0
1,0,0,1,0,0,0,1,3,47,202500,35.70230737,3.34846027,0
0,0,1,0,0,0,1,0,1,50,94500,57.19213947,0,0
0,0,1,0,0,0,1,0,2,7,180000,48.54856705,0,0
0,1,1,0,1,0,1,0,2,31,157500,52.82517779,0,1
0,1,1,0,0,0,0,0,2,1,225000,45.56698632,0.492823261,0
1,0,0,1,0,0,0,0,2,18,121500,38.36081507,10.17953825,0
1,1,1,0,0,0,0,0,2,44,337500,40.33758393,3.775573763,0
0,1,1,0,0,0,0,1,3,9,157500,47.68338843,0.550319308,0
1,1,0,0,1,0,0,0,2,45,157500,56.17090016,6.201359371,0
1,0,1,0,0,0,0,0,2,31,225000,50.9524494,0.366879539,0
0,0,1,0,0,0,0,1,3,3,180000,48.42262333,23.97311375,0
0,0,1,0,0,1,0,1,3,23,67500,26.61245611,1.388118853,0
1,1,1,0,1,0,1,0,1,12,225000,47.7874289,0,1
1,1,1,0,0,0,0,0,2,14,157500,30.36612661,2.316269328,0
0,0,1,0,0,0,0,0,1,1,90000,44.6607391,9.278766847,0
0,1,1,0,0,0,0,0,2,20,135000,41.00837115,4.887164007,0
0,1,0,1,1,0,0,0,2,30,135000,52.0476122,18.51098927,0
0,0,1,1,0,0,0,0,2,7,180000,41.20823836,1.681074902,0
0,0,1,0,1,0,0,1,3,16,112500,37.38885809,6.042560764,0
0,1,1,0,0,0,1,0,2,10,144000,62.50915488,0,0
1,0,0,1,0,0,0,0,2,10,157500,50.17762172,19.95386627,1
1,1,0,0,0,0,0,1,2,56,157500,40.86599999,4.076743533,1
0,1,1,0,1,0,1,0,1,54,450000,60.46120044,0,0
0,0,0,0,0,0,0,2,4,41,180000,37.32862413,4.766696099,0
0,0,1,0,0,1,0,1,3,37,67500,39.90499463,5.875548437,0
0,1,1,0,0,0,0,0,2,4,157500,52.82517779,10.62581709,0
0,0,1,1,1,0,0,0,1,18,121500,47.72719495,6.617521236,0
0,1,1,0,0,0,0,0,2,60,180000,29.64058126,2.59827375,0
1,1,0,1,0,0,0,0,2,28,87448.5,32.94797292,0.380569074,0
0,0,1,0,0,0,0,0,1,31,270000,28.4468538,2.179373978,0
0,0,1,0,0,0,0,0,2,17,382500,31.70222523,3.178710035,1
0,0,1,1,1,0,0,1,3,3,112500,30.0868601,0.369617446,0
0,0,0,0,1,0,0,0,2,54,180000,36.25262668,12.18642409,0
1,1,1,0,0,0,0,0,2,17,180000,44.47456142,22.4672649,0
0,0,1,0,1,0,1,0,2,33,157500,56.34065039,0,0
0,0,1,0,0,0,0,0,2,30,202500,43.6449756,15.96199785,0
0,0,1,0,0,0,1,0,1,22,90000,52.20914872,0,0
1,0,1,1,1,0,0,0,2,19,180000,27.01766634,3.342984456,0
1,1,1,0,1,0,0,1,3,56,157500,41.72296488,6.948807984,0
0,0,0,1,1,0,0,1,3,3,225000,48.23096984,19.68281347,0
1,1,1,0,0,0,0,0,2,17,135000,48.98115636,0.547581401,0
0,0,0,0,1,0,0,0,2,49,135000,41.66546883,6.201359371,0
0,0,1,0,0,0,0,2,4,57,112500,32.91511804,6.343730535,0
1,0,0,0,0,0,0,1,3,43,180000,37.96381856,17.19679391,0
0,1,1,0,0,0,0,0,1,21,243000,40.29103951,5.631874713,0
1,0,1,0,0,0,0,0,2,21,247500,50.1338152,3.852235159,0
1,1,0,0,0,0,0,0,2,17,202500,53.10992012,5.930306577,0
0,1,1,0,0,0,0,0,1,20,292500,33.63244967,2.338172584,0
0,0,1,0,0,0,1,0,2,5,382500,61.01973346,0,0
0,0,0,1,1,0,0,0,2,60,112500,55.53844364,4.74753075,0
0,1,1,0,1,0,1,0,2,31,206100,55.56856061,0,0
0,1,1,0,1,0,0,0,2,8,405000,50.69782405,10.79830524,0
0,1,0,0,0,0,0,1,3,30,135000,34.28680945,6.795485191,0
0,0,1,0,0,0,1,0,1,9,225000,62.32023929,0,0
1,1,1,0,0,0,1,0,2,2,225000,65.43323956,0,0
0,0,1,0,1,0,0,0,1,50,135000,43.56010048,1.092424896,1
0,1,0,0,0,0,1,0,2,18,58500,55.62058085,0,0
1,1,1,1,1,0,0,0,2,48,315000,42.46219977,3.255371431,1
0,0,1,0,1,1,0,0,1,51,171000,63.80418489,8.766778236,0
0,0,1,0,0,0,0,2,3,50,135000,34.19645852,1.987720487,0
1,0,1,1,0,0,0,0,2,21,202500,39.83928486,3.7509326,0
0,0,1,0,0,0,1,0,2,7,112500,63.62622094,0,0
1,0,0,1,0,0,0,0,2,33,180000,47.77100146,3.181447942,0
0,0,1,0,0,0,1,0,2,26,81000,60.14360322,0,0
0,1,1,0,1,0,0,2,4,33,76500,34.12253503,4.465526328,0
0,1,1,0,0,0,0,1,3,41,157500,34.5003662,16.57255111,0
0,0,1,0,1,0,0,0,2,10,135000,32.92606967,6.423129838,0
1,1,1,0,0,0,0,0,2,7,301500,24.66580423,2.365551654,0
1,1,1,0,1,1,0,0,1,37,202500,36.80568389,6.899525658,0
0,0,1,1,1,1,0,0,2,39,202500,52.88814965,18.04280718,0
0,0,1,0,0,0,1,0,2,60,72000,50.68961033,0,0
1,1,1,0,0,0,0,0,2,18,189000,44.1542263,9.475896151,0
0,0,0,0,0,0,0,1,3,48,225000,37.02471646,3.217040733,0
0,0,1,1,0,0,0,2,4,41,90000,34.83712876,7.214384963,0
0,0,1,0,0,0,0,2,4,22,147150,37.92822577,8.92831475,0
1,1,0,0,0,0,0,0,2,45,202500,34.48667666,6.56823891,0
1,0,1,0,0,0,0,0,2,16,135000,54.1558006,19.43092603,0
1,0,1,0,0,0,0,1,3,27,157500,29.25727428,9.464944523,0
1,1,1,0,0,0,0,2,4,57,180000,53.6082192,3.367625619,0
1,0,0,0,0,0,0,0,1,5,265500,28.3674545,1.292292107,1
1,0,1,0,1,0,0,0,2,26,202500,26.73839983,5.297850059,0
0,1,1,0,0,0,0,0,1,35,337500,54.22151037,8.887246145,0
0,0,0,0,1,0,0,0,1,6,121500,45.09606631,7.515554734,0
1,1,0,0,0,0,0,0,2,29,225000,29.52832707,3.682484924,0
0,0,1,0,1,0,0,2,4,13,315000,29.94448894,0.459968377,0
1,1,1,0,0,0,0,0,2,40,252000,37.77216507,7.343066593,0
0,0,1,0,0,0,1,0,1,3,112500,60.55976509,0,0
1,0,0,0,1,0,0,0,2,12,148500,42.55802652,9.941340342,0
1,1,0,1,0,0,0,0,2,14,360000,43.68056839,6.680493097,0
1,1,1,0,1,0,0,1,3,25,157500,36.80020808,8.427277768,0
1,0,1,0,1,0,0,0,1,5,360000,37.06578506,5.527834247,0
0,0,0,0,0,0,0,1,3,11,67500,30.81514336,7.044634729,0
0,0,1,0,0,0,0,2,4,16,157500,41.84069488,8.952955913,0
1,1,1,0,0,0,0,0,2,40,180000,58.04910436,4.643490284,0
1,1,0,1,1,0,0,0,2,39,135000,36.25262668,1.193727455,0
1,0,0,0,0,0,0,0,2,54,166500,28.33186171,0.4298514,0
1,1,1,0,0,0,0,0,2,39,148500,49.38636659,0.755662334,0
1,0,0,1,1,0,0,0,2,40,180000,38.52235159,4.284824466,0
0,1,0,0,0,1,0,0,2,46,216000,29.1888266,4.369699583,0
0,0,1,0,1,0,0,0,1,12,135000,53.09349268,0.331286748,0
0,0,1,0,1,0,1,0,2,4,270000,54.1968692,0,0
0,0,1,0,0,0,1,0,2,44,157500,62.60771953,0,0
1,1,0,1,1,0,0,1,3,12,270000,26.73566192,2.814568403,0
0,0,1,0,0,0,1,0,2,31,85500,61.89038789,0,1
0,0,1,0,1,1,0,0,1,39,337500,45.42187725,1.199203269,0
1,1,1,0,0,0,1,0,2,15,225000,60.86641067,0,0
1,0,1,0,0,0,0,0,2,23,225000,35.56814993,5.429269595,0
0,1,0,0,0,0,0,1,3,21,72000,31.3764143,3.123951895,0
1,1,0,0,1,0,0,1,3,43,247500,28.54268055,8.766778236,0
1,0,1,0,0,0,0,0,2,7,225000,24.6575905,0.449016749,1
1,0,1,0,0,1,0,0,2,1,216000,52.43091918,20.30158046,0
0,1,1,0,1,0,1,0,2,41,45000,61.3838751,0,0
1,0,1,0,0,0,0,1,3,60,157500,32.67692013,3.285488408,0
0,0,1,0,1,0,0,0,2,5,112500,35.68861784,0.98838443,0
0,0,0,1,0,0,0,0,2,5,76500,46.20491865,0.26557698,0
0,0,1,0,0,0,0,0,1,12,180000,48.00372355,10.33833686,0
0,0,1,1,0,0,0,0,1,27,135000,24.04703724,1.467518156,0
1,1,0,1,0,1,0,0,2,54,270000,54.06818757,2.034264906,0
1,0,0,0,0,0,1,0,2,24,270000,40.35401138,0,0
1,1,1,0,1,0,0,1,3,40,315000,28.24698659,0.815896288,0
0,0,0,0,0,0,0,0,1,8,189000,56.67741295,4.780385634,0
0,0,1,0,0,0,0,0,1,45,112500,42.91669233,6.017919601,0
0,0,1,0,1,0,0,0,2,11,135000,54.14758688,15.05848854,0
0,0,0,0,1,0,0,0,2,41,315000,37.31767251,8.843439633,0
0,0,0,0,0,0,1,0,2,24,67500,56.9293004,0,0
0,1,1,0,0,0,0,1,3,40,225000,30.77133685,1.259437223,0
0,1,1,0,0,0,0,0,2,16,225000,47.41507355,6.877622402,0
0,1,0,1,1,1,0,1,3,5,405000,37.81049577,4.594207958,0
0,0,0,0,0,0,0,1,2,16,202500,33.0547513,3.88782795,0
0,0,1,0,0,0,0,0,2,21,180000,36.07740063,4.594207958,0
1,0,1,0,1,0,0,1,2,8,225000,42.16650581,10.61760337,0
0,0,1,0,0,0,1,0,2,42,225000,57.46593017,0,1
0,0,1,0,1,0,0,0,2,27,180000,43.8421049,4.15340493,0
1,1,1,0,0,0,0,0,1,2,180000,22.79581374,2.346386305,0
0,1,1,0,1,0,0,0,2,48,135000,44.93726771,1.702978158,0
0,0,0,0,0,0,0,0,1,15,67500,53.01683128,6.951545891,0
0,1,1,0,0,0,0,0,2,14,90000,34.51405573,1.349788154,0
0,0,1,0,0,0,1,0,1,40,135000,60.07789345,0,0
0,0,0,0,1,0,1,0,1,14,85500,65.93427654,0,0
0,1,1,0,0,0,0,0,2,19,180000,35.97336016,3.865924694,0
0,0,1,0,0,1,0,0,2,10,180000,40.15414416,3.364887712,0
0,1,1,1,0,0,0,2,4,14,94500,38.75233578,18.09756532,0
1,1,1,0,0,0,0,0,2,23,166500,57.79447901,23.42279444,0
0,0,1,1,0,0,0,0,2,0,180000,38.55794438,19.29950649,0
0,0,1,0,0,0,0,0,1,11,144000,35.03152015,2.099974674,0
0,1,1,1,0,0,0,0,2,26,90000,31.07798244,3.208827012,0
1,1,1,0,0,0,0,0,2,45,157500,35.72694853,2.045216534,0
0,0,0,0,0,0,0,0,1,48,90000,27.64464705,8.356092185,0
0,1,0,1,1,0,0,2,4,30,157500,37.81323367,1.034928849,0
1,1,1,0,0,0,0,0,2,7,211500,41.19728673,20.67941162,1
1,0,0,0,0,1,0,0,2,36,247500,52.00106778,4.783123541,0
0,0,1,0,1,0,0,2,4,26,67500,33.33675572,14.55471365,1
0,0,0,0,0,0,0,1,3,19,112500,30.19363847,0.301169771,0
0,0,0,0,1,0,0,1,2,7,153000,47.92432425,4.758482378,1
1,1,1,0,0,1,0,0,2,31,256500,58.87321437,4.58325633,0
0,0,0,0,0,0,0,1,3,13,135000,27.79249403,3.115738174,0
0,0,0,0,0,0,0,0,2,39,306000,29.31477032,3.707126087,0
0,1,0,0,0,0,0,0,2,27,180000,40.33484603,12.29594037,1
1,1,0,0,1,0,1,0,2,27,112500,60.20657508,0,0
0,0,0,0,1,0,1,0,2,2,112500,64.88565816,0,0
0,0,0,1,1,0,0,1,3,51,72000,27.42013867,1.55513118,0
1,1,1,0,0,1,0,1,3,32,247500,30.99310732,4.356010048,0
0,0,1,0,0,0,0,0,2,19,180000,40.6360158,21.93337303,0
0,0,0,1,1,0,0,0,2,21,180000,46.68405238,3.515472597,0
0,1,1,0,0,0,0,0,2,1,225000,60.32156718,2.261511188,0
1,0,0,0,0,0,0,2,4,34,382500,29.89520661,1.034928849,0
0,0,1,0,0,0,0,1,3,20,225000,39.92963579,15.79772343,0
1,0,1,1,0,0,0,0,2,24,360000,49.67384683,28.57553543,0
0,1,1,0,0,0,0,0,2,58,157500,44.00090351,6.130173789,0
0,0,1,0,0,0,0,2,4,11,112500,29.91710987,5.092507033,0
0,0,1,0,1,0,1,0,1,12,288000,59.65351787,0,0
1,1,1,0,0,1,0,0,2,23,202500,46.94962936,2.3053177,1
1,1,0,0,0,0,0,1,3,22,112500,36.55927226,3.756408414,0
1,1,1,0,0,0,0,0,2,52,315000,29.6980773,7.425203803,0
0,0,0,1,1,0,0,2,3,7,225000,33.88981293,1.834397695,0
0,0,1,0,0,0,1,0,2,12,54000,60.98961649,0,0
0,0,0,0,0,0,0,1,2,60,202500,38.16368577,0.366879539,0
0,0,0,0,0,0,0,0,2,9,135000,27.07242449,5.560689131,0
0,1,1,0,0,0,0,0,1,11,292500,36.6523611,5.451172851,0
1,0,1,0,0,0,0,1,2,16,121500,34.11432131,12.33974688,0
0,0,1,0,0,0,0,1,3,5,162000,41.14252859,0.240935817,0
0,0,1,0,0,0,0,0,1,21,382500,45.21379631,14.20152365,0
0,0,0,0,0,0,0,0,2,48,67500,50.77722335,15.20359761,0
0,0,0,0,0,0,1,0,1,25,166500,59.99849415,0,0
0,0,0,0,0,0,0,1,2,11,135000,37.56134623,0.046544419,0
0,0,1,0,1,0,1,0,2,15,126000,55.87246829,0,0
1,0,0,0,0,0,1,0,2,29,47250,57.54259157,0,0
1,0,1,0,0,0,0,0,2,18,225000,52.30223755,10.04811872,0
0,0,1,0,0,0,1,0,1,28,135000,56.81704621,0,0
1,0,0,1,1,0,0,0,2,21,225000,47.26175075,7.556623339,0
0,1,0,0,1,1,1,0,2,30,144000,62.6350986,0,0
0,0,1,0,0,0,1,0,1,40,315000,55.26739084,0,0
0,0,1,0,0,0,0,0,2,19,225000,56.73764691,15.29668645,0
1,0,1,0,0,0,0,0,2,4,202500,57.07167156,2.319007235,0
0,0,1,0,0,0,0,3,5,26,292500,33.86243386,1.839873509,1
1,0,1,0,0,0,1,0,2,55,225000,45.22474794,0,0
0,0,1,0,1,0,0,1,3,38,675000,43.65318932,4.016509579,0
1,0,1,0,0,0,1,0,2,7,157500,52.28307221,0,0
1,0,1,1,0,1,0,0,2,15,135000,28.60565241,6.360157977,0
0,0,1,0,0,1,0,1,3,51,90000,31.97601593,5.711274017,0
0,0,1,0,1,0,0,0,2,4,180000,53.18658152,9.344476615,0
1,1,1,0,0,0,0,0,1,1,202500,22.86426142,0.339500469,0
0,0,0,0,0,0,0,1,3,19,99000,35.55993621,14.27818504,0
1,0,0,0,0,0,0,1,3,42,225000,51.95452336,1.883680021,0
1,0,1,0,0,0,0,1,3,1,225000,44.4252791,4.77490982,0
1,0,1,1,0,0,0,2,4,37,270000,37.72014484,1.259437223,0
0,0,1,0,0,0,1,0,1,33,216000,57.77531366,0,0
1,0,1,0,0,0,0,1,2,25,90000,33.7200627,0.796730939,0
0,0,0,1,1,0,0,0,2,10,225000,55.14692293,10.29453035,0
0,0,1,0,0,0,1,0,2,26,112500,63.04304674,0,0
0,0,1,0,0,1,0,1,3,42,270000,40.65791905,0.635194426,0
0,1,0,0,0,0,0,0,2,34,135000,51.8915515,29.23263311,0
0,0,1,0,0,0,0,0,2,47,54000,50.24059358,9.881106388,0
0,0,1,0,0,0,0,0,1,42,225000,56.04495643,25.37766005,0
1,1,1,0,0,0,0,0,2,47,270000,30.79597801,6.546335654,0
0,1,1,0,0,0,0,1,2,39,1575000,27.76785286,6.78727147,1
0,0,1,0,0,0,1,0,2,43,81000,59.33592066,0,0
0,0,1,0,0,0,1,0,2,36,112500,58.4543146,0,0
1,1,1,0,0,1,0,1,3,9,292500,40.21164021,12.76959828,0
0,0,1,0,0,0,0,0,2,7,193500,51.43705894,2.346386305,0
0,0,1,0,1,0,0,2,4,40,81000,44.99750166,26.68090378,0
0,0,1,0,1,0,1,0,2,11,112500,59.59875973,0,0
0,0,1,0,1,0,0,0,1,51,90000,41.32323046,5.045962614,0
0,0,1,0,0,0,0,0,1,47,157500,49.68753636,22.93270909,0
0,1,0,0,1,0,0,0,2,27,135000,41.54773883,8.339664743,0
1,0,0,1,0,0,0,0,2,21,157500,40.54566487,0.679000938,0
0,0,1,1,1,0,0,0,1,55,630000,60.23669206,4.213638884,0
1,0,0,0,0,0,0,0,2,5,112500,28.46328124,2.130091651,0
0,0,1,0,0,1,0,0,2,6,180000,26.80684751,3.679747017,0
1,1,1,0,0,0,0,0,2,55,202500,62.02728324,10.68605105,1
0,0,1,0,0,0,1,0,2,29,67500,64.17927815,0,0
0,0,0,0,1,0,1,0,1,5,97650,60.74320486,0,0
1,0,0,1,0,1,0,0,1,9,85500,26.54948425,3.764622135,0
1,1,1,0,0,0,0,0,2,56,90000,35.10270574,0.424375586,0
1,1,0,0,1,0,0,0,2,7,292500,50.60747312,1.26217513,0
0,0,0,0,1,1,1,0,2,42,94500,58.11207622,0,0
0,0,0,0,0,0,0,1,2,54,270000,45.22201003,2.713265844,0
0,0,0,0,0,0,0,0,2,25,76500,39.40669555,8.868080796,0
0,0,1,0,0,0,0,0,2,12,382500,47.72719495,4.681820982,0
0,1,1,0,0,0,0,0,2,51,675000,51.47812755,2.499709097,0
0,0,1,0,0,1,1,0,1,30,450000,57.33724854,0,0
0,0,1,0,0,0,0,0,2,25,67500,37.42171297,2.212228862,0
1,0,0,1,1,0,0,1,3,21,225000,37.44361623,2.781713519,0
0,0,1,0,0,0,0,0,2,50,157500,54.28174432,2.869326543,0
0,0,1,0,0,0,0,2,4,4,157500,30.09507382,0.555795122,0
0,0,1,0,0,0,0,0,1,33,225000,55.58498806,28.08818798,1
0,0,1,0,1,0,0,0,1,34,157500,56.84716319,31.1820229,0
0,0,1,0,0,0,1,0,1,53,135000,59.65899368,0,1
1,1,1,0,0,0,1,0,2,36,108000,67.28954051,0,0
1,0,1,0,1,1,0,0,2,46,90000,53.52881989,5.275946802,0
1,1,0,0,0,0,0,2,4,25,135000,39.09457415,14.59030644,0
1,1,1,0,0,0,0,1,3,15,112500,30.88085313,1.39085676,1
1,0,1,0,0,0,0,0,2,41,180000,55.23727387,7.102130776,0
1,1,0,1,0,0,0,1,3,42,135000,31.46950314,1.530490017,0
0,0,1,0,1,0,1,0,1,12,90000,63.6891928,0,0
0,1,1,1,1,1,0,0,2,32,202500,43.29178559,11.58408455,0
1,1,1,0,0,0,0,1,3,22,405000,45.20284469,2.001410022,0
0,0,1,0,0,0,0,3,4,14,157500,28.23603496,2.713265844,0
1,0,1,0,0,0,0,0,1,14,135000,31.05881709,2.885753985,0
1,1,1,0,0,0,0,2,4,23,144000,32.05815314,1.845349323,0
1,1,1,0,0,0,0,0,2,30,180000,43.98721397,3.926158648,0
1,0,1,0,0,0,0,0,1,24,270000,29.80485568,0.843275358,0
0,1,1,0,1,0,1,0,2,9,270000,51.83679336,0,0
1,1,0,1,0,1,0,0,1,47,157500,32.09922175,10.13846965,0
1,1,1,0,0,0,0,1,3,19,171000,43.06727722,10.54641779,0
0,0,0,0,1,0,1,0,1,8,112500,60.92938253,0,0
1,1,1,1,0,0,0,2,4,50,360000,28.12651868,8.320499394,0
0,1,1,0,0,0,0,3,5,7,180000,37.33957576,10.42868779,0
1,1,1,0,0,0,0,0,2,10,225000,46.85927842,5.774245878,0
0,0,0,0,0,0,0,1,2,30,202500,29.56939568,8.668213584,0
1,1,1,0,0,0,0,1,3,32,180000,41.41631929,15.81415087,0
1,1,1,0,1,0,1,0,2,9,90000,62.1285858,0,0
0,0,0,0,0,0,0,0,2,6,99000,40.14045463,15.11598459,0
0,0,1,1,1,0,0,1,3,7,180000,29.44345195,0.177963955,0
1,1,1,0,0,0,0,0,2,29,180000,42.48136512,3.562017016,0
0,1,0,1,0,0,0,0,2,14,562500,40.12128928,7.764704272,0
0,0,0,0,0,1,1,0,2,47,157500,59.12510182,0,0
0,0,0,0,0,0,0,0,2,4,135000,30.1279287,4.298514001,0
1,1,0,0,0,0,0,0,2,3,76500,28.35376496,3.715339808,0
1,0,1,0,0,0,0,2,4,9,135000,30.14435615,5.032273079,0
0,0,1,0,0,1,0,2,3,36,315000,33.22176362,0.525678145,0
0,0,1,1,1,0,0,0,2,35,265500,43.60116909,9.130919868,0
1,0,0,0,0,0,0,0,2,31,90000,34.43191852,9.158298938,0
0,1,0,0,0,0,0,0,1,30,342000,33.44079618,10.42321198,0
0,0,0,0,0,0,1,0,2,51,108000,53.67666687,0,0
1,1,1,0,0,0,0,2,4,4,180000,40.43888649,3.211564919,0
0,0,0,0,1,0,0,0,1,13,157500,31.22309151,5.114410289,0
0,0,1,1,1,0,0,0,2,36,90000,52.58150407,4.249231675,0
1,1,1,0,0,0,0,2,4,28,360000,34.07599061,5.92756867,1
0,1,1,0,0,0,1,0,2,42,180000,65.57834863,0,0
1,1,1,1,0,0,0,0,1,41,157500,27.0012389,5.84543146,0
1,1,1,0,0,0,0,0,2,18,81000,37.03566808,3.156806779,0
0,0,0,1,0,0,0,0,2,28,153000,42.39649,2.464116306,1
0,0,1,0,0,0,1,0,2,33,315000,53.29335989,0,0
0,1,0,0,1,0,0,0,2,42,225000,56.51313853,2.913133055,0
1,1,1,0,0,0,1,2,4,33,243000,53.74237664,0,1
0,0,1,0,0,0,0,2,4,6,90000,32.48252873,12.35617432,0
0,0,1,0,0,0,0,2,4,10,117000,27.31062239,1.117066059,0
0,0,1,0,0,0,0,1,3,50,157500,36.78925645,4.575042609,1
1,1,1,0,1,0,0,0,2,16,315000,43.73806444,6.617521236,0
0,0,1,1,0,0,0,0,2,27,90000,32.27718571,1.010287686,0
0,0,0,0,1,0,0,0,2,29,90000,52.26938267,3.288226315,0
1,1,1,0,0,0,0,0,2,24,166500,46.67583866,6.231476348,1
0,0,1,0,0,0,0,0,2,40,257625,38.05143158,1.667385367,0
0,0,1,0,1,1,0,0,2,43,157500,49.88740357,4.134239581,0
0,0,0,1,1,0,0,0,2,19,207000,29.22168149,1.284078386,0
1,0,1,0,0,0,0,0,2,50,450000,47.58482378,18.0537588,0
1,0,1,0,0,1,0,0,1,2,315000,28.74528567,1.492159319,0
1,1,1,0,0,0,1,1,3,26,180000,48.95103938,0,0
0,0,0,0,0,0,0,1,3,6,121500,45.8325633,11.75657269,0
0,0,1,0,0,0,0,2,4,19,135000,39.24515904,1.029453035,0
0,0,1,0,0,0,0,1,3,14,180000,25.98821331,3.96996516,0
1,1,0,0,0,0,0,0,2,51,540000,47.22615796,4.621587028,0
0,0,0,1,0,0,0,0,1,9,72000,51.46991382,4.013771672,0
1,1,1,0,1,0,0,0,2,38,202500,47.20699261,2.346386305,0
0,0,1,0,0,0,0,0,1,26,225000,52.7101857,5.631874713,0
0,1,1,0,1,0,0,0,2,16,270000,51.06470359,7.099392869,0
0,0,0,0,0,0,0,1,3,37,202500,34.24026503,2.486019562,0
1,0,1,0,0,0,1,0,2,23,135000,58.35027413,0,1
0,0,1,0,0,0,0,0,1,9,135000,52.92921826,4.963825404,0
0,0,1,0,0,0,0,1,2,60,112500,37.21636995,4.632538656,0
0,1,1,1,0,0,0,2,4,26,157500,35.27793179,5.714011924,0
1,0,0,0,0,0,0,0,1,17,202500,48.30215542,9.103540798,0
0,0,1,0,0,0,0,0,1,6,202500,41.98032814,3.02812515,0
0,0,1,0,0,0,0,0,2,15,81000,35.76527923,4.547663539,1
0,0,0,0,0,1,0,1,3,11,81000,28.44137799,1.798804904,0
0,0,1,0,1,0,0,0,1,13,103500,48.93461194,23.16269328,0
1,0,1,0,0,0,1,0,2,29,65250,63.76311629,0,1
1,1,1,0,0,0,0,0,2,49,202500,39.94606323,2.754334449,0
0,1,1,0,0,0,0,1,3,2,270000,28.51803938,10.02347755,0
0,0,1,0,1,0,1,0,2,9,292500,62.2052472,0,1
0,0,1,1,1,0,0,0,2,7,112500,34.47846294,10.79282942,0
1,0,0,0,1,0,0,0,1,6,135000,31.75698337,1.965817231,0
